DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2024-12-19,2750.0,PACIFIQUE,PERCALE,93.5,7.6,
,2024-12-19,1123.0,,PERCALE,26.8,6.3,70.0
,2024-12-19,4351.0,BEIGE,PERCALE,87.2,7.1,
,,,,,,,
,2025-03-11,3910.0,SAPIN,PERCALE,94.0,7.6,
,2025-03-11,2750.0,PACIFIQUE,PERCALE,120.1,7.6,
,2025-03-11,8760.0,CARDINALE,PERCALE,85.0,8.4,70.0
,2025-09-11,1418.0,LILA,PERCALE,58.8,6.0,
,2025-09-11,3910.0,SAPIN,PERCALE,60.0,7.6,70.0
,,,,,,,
,2026-02-23,2840.0,,PERCALE,63.2,8.4,
,2026-02-23,8760.0,CARDINALE,PERCALE,61.9,8.4,70.0
