DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2024-10-31,00494-53-PB-000-300,BLANC,SM ETAMINE BRODEE,20.0,9.95,
,2024-10-31,00083-52-PB-000-300,BLANC,SM ETAMINE JACQUARD,20.0,8.75,
,2024-10-31,00331-53-PB-000-300,BLANC,SM VOILE FANTAISIE BRODE,20.0,9.85,
,2024-10-31,00331-53-PB-200-300,GRIS,SM VOILE FANTAISIE BRODE,19.4,9.85,
,2024-11-25,00123-54-PB-103-300,NATUREL,SM ETAMINE FANTASIE FILETEE,34.0,6.43,
,,,,,,,
,2025-10-10,00520-60-LZ-101-300,,EDEN LZ AMEUBLEMENT UNI LIN,16.0,6.95,
,2025-11-21,00124-54-PB-103-300,NATUREL,SM ETAMINE RAYURE FANTAISIE,36.0,7.15,
,2025-11-21,00270-54-PB-000-280,BLANC,SANTIAGO SM FANTISIE TISSE RAYURE,36.3,4.5,
,2025-11-21,00331-53-PB-441-300,TERRACOTTA,GINKGO SM VOILE FANTAISIE BRODE,20.3,9.85,
,2025-11-21,00083-52-PB-200-300,GRIS,LUMIERE SM ETAMINE JACQUARD,28.0,8.75,
,2025-11-21,00116-50-LZ-000-300,BLANC,LZ VOILE UNI ,32.0,3.95,
