DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2024-10-03,COL 962,GRIS CLAIR,COTON,60.0,4.3,
,2024-10-03,COL 301 ,BEIGE,COTON,60.0,4.3,
,2024-10-03,COL 323 ,CHAMPAGNE,SATIN COTON,60.0,6.9,81.0
,2024-10-31,COL 456,SAFRAN,COTON,30.0,4.65,
,2024-10-31,COL 370,MARINE,COTON,60.4,5.05,
,2024-10-31,COL 425,ARDOISE,COTON,30.0,5.05,
,2024-10-31,COL 372,BILLARD,COTON,30.0,5.05,
,2024-10-31,COL 962,GRIS CLAIR,COTON,90.3,4.3,
,2024-10-31,COL 301 ,BEIGE,COTON,30.0,4.3,
,2024-10-31,COL NERO,NOIR,COTON,30.0,5.05,
,2024-10-31,PEGI30BO,BLANC,PERCALE,92.5,4.55,
,2024-10-31,COL 442,CIEL,PERCALE,50.0,5.2,
,2024-10-31,COL 301 ,CHAMPAGNE,PERCALE,30.2,5.2,
,2024-10-31,COL 644,GRIS CLAIR,PERCALE,50.0,5.6,
,2024-10-31,COL 520,VERT,PERCALE,30.5,5.2,
,2024-10-31,PELI300B,BLANC,SATIN COTON,60.0,6.35,221.0
,2024-11-28,COL 962,GRIS CLAIR,COTON,90.8,4.3,
,2024-11-28,COL 703,CIEL,COTON,60.7,4.3,
,2024-11-28,PEGI30BO,BLANC,PERCALE ,90.8,4.55,
,2024-11-28,COL 520,VERT,PERCALE ,21.0,5.2,
,2024-11-28,LINOBCO,BLANC,LIN,30.0,19.15,130.0
,2024-12-12,COL 456,SAFRAN,COTON,60.0,4.65,
,2024-12-12,COL 279,ORANGE,COTON,60.0,5.05,
,2024-12-12,COL 475,LIE DE VIN,COTON,60.0,5.05,
,2024-12-12,COL 420,BORDEAUX,COTON,60.0,5.05,
,2024-12-12,COL NERO,NOIR,COTON,60.0,5.05,
,2024-12-12,COL 301 ,BEIGE,COTON,60.0,4.3,
,2024-12-12,COL 301 ,CHAMPAGNE,PERCALE,60.7,5.2,
,2024-12-12,COL 644,GRIS CLAIR,PERCALE,60.0,5.6,
,2024-12-12,COL 424,PERVENCHE,PERCALE,60.4,5.6,
,2024-12-12,PERLI300B,BLANC,SATIN COTON,60.0,6.35,
,2024-12-12,COL 480,TAUPE,SATIN COTON,60.0,7.45,
,2024-12-12,COL 17467,GRIS,SATIN COTON,60.0,8.55,296.0
,,,,,,,
,2025-01-29,COL 370,MARINE,COTON,60.0,5.05,
,2025-01-29,COL 372,BILLARD,COTON,66.0,5.05,
,2025-01-29,COL 301,BEIGE,COTON,60.0,4.3,
,2025-01-29,PEGI30BO,BLANC,PERCALE,90.4,4.55,
,2025-01-29,COL 442,CIEL,PERCALE,66.3,5.2,
,2025-01-29,COL 19785,ORGANIQUE,PERCALE,60.0,5.6,
,2025-01-29,COL NERO,NOIR,PERCALE,60.0,6.15,
,2025-01-29,COL 520,VERT,PERCALE,60.0,5.2,
,2025-01-29,COL 18309,MARRON,PERCALE,50.7,6.15,
,2025-01-29,COL NERA,NOIR,SATIN COTON,50.4,8.55,230.0
,2025-02-14,COL 962,GRIS CLAIR,COTON,90.0,4.3,
,2025-02-14,COL 644,GRIS,PERCALE ,60.0,5.6,
,2025-02-14,COL 301,CHAMPAGNE,PERCALE,60.0,5.2,
,2025-02-14,COL 612,ROSE,PERCALE ,60.0,5.2,
