DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2025-01-31,TC0290 290 30/27 50/50,,UNI OPEN END CH: COTON 100% TR : COTON 100 %,1000.0,2.6,
,2025-03-18,MOLTO200 A 44 255 MOLLETON 200 G GRATTE 2F LAIZE 255,,BLANC BLANC A DRAP GRATTAGE 2 FACES UNI OPEN END COTON 100% LISIERE RENTREE,645.0,3.6,
,2025-05-22,MOLTO200 A 4C 245 MOLLETON PU LAIZE 245,,BLANC BLANC A DRAP GRATTAGE 1 FACE COLLAGE POLYURETHANNE SUR 200 UNI OPEN END COTON 100% LISIERE RENTREE,430.0,4.55,
,2025-05-21,TC0290 290 30/27 50/50,,UNI OPEN END CH: COTON 100% TR : COTON 100 %,920.0,2.6,
,2025-05-22,PE290/4335 A DX 280 PERCALE BLANCHIE LAIZE 280,,BLANC FLAMBAGE 2 FACES DESENCOLLAGE DEBOUILLI DOUBLE BLANCHIMENT EAU OXYGENE E LAVE SECHE THERMOFIXATION A 180° PENDANT 20S UNI CLASSIQUE PEIGNE/CLASSI PEIGNE COTON 100% LISIERE RENTREE,652.0,4.2,
,2025-09-05,MOLTO200 A 44 255 MOLLETON 200 G GRATTE 2F LAIZE 255,,BLANC BLANC A DRAP GRATTAGE 2 FACES UNI OPEN END COTON 100% LISIERE RENTREE,500.0,3.7,
,2025-10-10,TC0290 290 30/27 50/50,,UNI OPEN END CH: COTON 100% TR : COTON 100 %,1060.0,2.6,
,2025-12-03,MOLTO200 A 4C 245 MOLLETON PU LAIZE 245,,BLANC BLANC A DRAP GRATTAGE 1 FACE COLLAGE POLYURETHANNE SUR 200 UNI OPEN END COTON 100% LISIERE RENTREE,230.0,4.55,
,,,,,,,
,2026-01-14,PE290/4335 A DX 280 PERCALE BLANCHIE LAIZE 280,,BLANC FLAMBAGE 2 FACES DESENCOLLAGE DEBOUILLI DOUBLE BLANCHIMENT EAU OXYGENE E LAVE SECHE THERMOFIXATION A 180° PENDANT 20S UNI CLASSIQUE PEIGNE/CLASSI PEIGNE COTON 100% LISIERE RENTREE,480.0,4.3,
,2026-02-27,MOLTO200 A 4C 245 MOLLETON PU LAIZE 245,,BLANC BLANC A DRAP GRATTAGE 1 FACE COLLAGE POLYURETHANNE SUR 200 UNI OPEN END COTON 100% LISIERE RENTREE,490.0,4.55,
,2026-02-27,MOLTO200 A 44 255 MOLLETON 200 G GRATTE 2F LAIZE 255,,BLANC BLANC A DRAP GRATTAGE 2 FACES UNI OPEN END COTON 100% LISIERE RENTREE,500.0,3.7,
